"playerId","headshot","sweaterNumber","positionCode","shootsCatches","heightInInches","weightInPounds","heightInCentimeters","weightInKilograms","birthDate","birthCountry","firstName","lastName","birthCity","birthStateProvince","teamId"
8451224,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8451224.png",11,"D","L",71,192,180,87,"1969-06-12","USA","Mathieu","Schneider","New York City","NY",24
8457261,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8457261.png",24,"L","L",73,213,185,97,"1971-11-29","CAN","Brad","May","Toronto","ON",24
8457981,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8457981.png",8,"R","R",72,209,183,95,"1970-07-03","FIN","Teemu","Selanne","Helsinki",NA,24
8458361,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8458361.png",39,"C","L",71,202,180,92,"1971-01-21","USA","Doug","Weight","Detroit","MI",24
8458517,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8458517.png",27,"D","L",73,194,185,88,"1973-08-31","CAN","Scott","Niedermayer","Edmonton","AB",24
8458637,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8458637.png",21,"D","L",74,238,188,108,"1971-10-13","CAN","Sean","O'Donnell","Ottawa","ON",24
8459424,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8459424.png",25,"D","L",78,220,198,100,"1974-10-10","CAN","Chris","Pronger","Dryden","ON",24
8459427,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8459427.png",44,"C","L",74,203,188,92,"1974-12-28","CAN","Rob","Niedermayer","Cassiar","BC",24
8459444,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8459444.png",4,"R","L",75,229,191,104,"1975-02-02","CAN","Todd","Bertuzzi","Sudbury","ON",24
8459587,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8459587.png",22,"C","L",70,180,178,82,"1973-08-12","USA","Todd","Marchant","Buffalo","NY",24
8460661,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8460661.png",7,"D","R",74,204,188,93,"1975-11-08","CAN","Shane","Hnidy","Neepawa","MB",24
8462044,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8462044.png",35,"G","L",73,202,185,92,"1977-05-16","CAN","Jean-Sebastien","Giguere","Montréal","QC",24
8465192,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8465192.png",26,"C","L",72,202,183,92,"1977-12-17","SWE","Samuel","Pahlsson","Ange",NA,24
8467323,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8467323.png",28,"R","R",71,174,180,79,"1974-02-16","USA","Mark","Mowers","Decatur","GA",24
8467387,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8467387.png",33,"D","R",74,220,188,100,"1979-02-25","CAN","Joe","Dipenta","Barrie","ON",24
8467400,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8467400.png",23,"D","L",71,208,180,94,"1980-06-04","CAN","Francois","Beauchemin","Sorel","QC",24
8467478,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8467478.png",23,"D","L",76,210,193,95,"1979-05-04","CAN","Kent","Huskins","Almonte","ON",24
8468095,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8468095.png",16,"R","R",77,224,196,102,"1979-12-29","USA","George","Parros","Washington","PA",24
8468434,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8468434.png",19,"C","L",70,175,178,79,"1977-08-25","CAN","Andy","McDonald","Strathroy","ON",24
8468506,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8468506.png",17,"C","L",74,208,188,94,"1982-03-01","CAN","Brian","Sutherby","Edmonton","AB",24
8468524,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8468524.png",80,"G","L",75,213,191,97,"1980-06-22","RUS","Ilya","Bryzgalov","Togliatti",NA,24
8468635,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8468635.png",27,"L","L",74,215,188,98,"1982-04-06","CAN","Travis","Moen","Stewart Valley","SK",24
8469615,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8469615.png",20,"D","L",73,197,185,89,"1983-01-20","RUS","Maxim","Kondratiev","Togliatti",NA,24
8469656,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8469656.png",42,"R","L",72,193,183,88,"1981-09-14","CAN","Jason","King","Corner Brook","NL",24
8469666,"https://assets.nhle.com/mugs/nhl/20072008/ANA/8469666.png",12,"R","R",73,195,185,88,"1982-04-04","USA","Brandon","Bochenski","Blaine","MN",24
