"playerId","headshot","sweaterNumber","positionCode","shootsCatches","heightInInches","weightInPounds","heightInCentimeters","weightInKilograms","birthDate","birthCountry","firstName","lastName","birthCity","birthStateProvince","teamId"
8468493,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8468493.png",65,"D","L",75,201,191,91,"1981-03-24","USA","Ron","Hainsey","Bolton","CT",12
8468639,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8468639.png",26,"D","L",70,185,178,84,"1980-11-25","USA","John-Michael","Liles","Indianapolis","IN",12
8469476,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8469476.png",6,"D","L",72,217,183,98,"1983-01-29","USA","Tim","Gleason","Clawson","MI",12
8469508,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8469508.png",18,"C","L",73,205,185,93,"1983-03-02","CAN","Jay","McClement","Kingston","ON",12
8469531,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8469531.png",44,"D","L",76,222,193,101,"1982-11-03","CAN","Jay","Harrison","Oshawa","ON",12
8470120,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8470120.png",28,"R","R",74,211,188,96,"1984-03-03","RUS","Alexander","Semin","Krasnojarsk",NA,12
8470302,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8470302.png",39,"R","R",71,175,180,79,"1983-06-22","USA","Patrick","Dwyer","Spokane","WA",12
8470320,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8470320.png",30,"G","L",73,194,185,88,"1984-02-29","CAN","Cam","Ward","Saskatoon","SK",12
8470595,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8470595.png",12,"C","L",76,195,193,88,"1984-10-29","CAN","Eric","Staal","Thunder Bay","ON",12
8471284,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8471284.png",4,"D","L",72,200,183,91,"1986-06-08","SVK","Andrej","Sekera","Bojnice",NA,12
8471418,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8471418.png",31,"G","L",71,210,180,95,"1986-05-07","KAZ","Anton","Khudobin","Ust-Kamenogorsk",NA,12
8471804,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8471804.png",14,"L","L",64,176,163,80,"1987-07-24","USA","Nathan","Gerbe","Oxford","MI",12
8473482,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8473482.png",19,"L","L",72,205,183,93,"1988-03-16","CZE","Jiri","Tlusty","Slany",NA,12
8473533,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8473533.png",11,"C","L",76,220,193,100,"1988-09-10","CAN","Jordan","Staal","Thunder Bay","ON",12
8474052,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8474052.png",25,"L","L",70,191,178,87,"1989-04-07","CAN","Chris","Terry","Brampton","ON",12
8474062,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8474062.png",20,"C","R",74,188,188,85,"1989-05-09","CAN","Riley","Nash","Consort","AB",12
8474089,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8474089.png",24,"C","L",74,217,188,98,"1989-05-20","CAN","Brad","Malone","Miramichi","NB",12
8474135,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8474135.png",73,"D","R",76,225,193,102,"1988-06-25","CAN","Brett","Bellemore","Windsor","ON",12
8474519,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8474519.png",38,"D","L",70,190,178,86,"1986-01-24","USA","Jack","Hillen","Minnetonka","MN",12
8474576,"https://assets.nhle.com/mugs/nhl/20142015/CAR/8474576.png",22,"L","L",70,185,178,84,"1989-10-04","CAN","Zach","Boychuk","Airdrie","AB",12
