"playerId","headshot","sweaterNumber","positionCode","shootsCatches","heightInInches","weightInPounds","heightInCentimeters","weightInKilograms","birthDate","birthCountry","firstName","lastName","birthCity","birthStateProvince","teamId"
8466140,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8466140.png",12,"C","L",74,210,188,95,"1978-12-05","FIN","Olli","Jokinen","Kuopio",NA,52
8469501,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8469501.png",22,"R","R",75,235,191,107,"1983-06-03","CAN","Chris","Thorburn","Sault Ste. Marie","ON",52
8470289,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8470289.png",19,"C","L",72,195,183,88,"1982-12-09","USA","Jim","Slater","Lapeer","MI",52
8470614,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8470614.png",5,"D","L",74,215,188,98,"1984-04-27","USA","Mark","Stuart","Rochester","MN",52
8470828,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8470828.png",39,"D","L",70,180,178,82,"1984-11-05","SWE","Toby","Enstrom","Nordingra",NA,52
8470834,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8470834.png",33,"D","R",77,260,196,118,"1985-03-27","USA","Dustin","Byfuglien","Roseau","MN",52
8471217,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8471217.png",16,"L","L",75,205,191,93,"1985-12-12","CAN","Andrew","Ladd","Maple Ridge","BC",52
8471218,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8471218.png",26,"R","R",77,220,196,100,"1986-08-31","USA","Blake","Wheeler","Plymouth","MN",52
8471219,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8471219.png",35,"G","L",74,200,188,91,"1985-02-13","USA","Al","Montoya","Chicago","IL",52
8471385,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8471385.png",2,"D","L",76,227,193,103,"1984-03-29","CAN","Adam","Pardy","Bonavista","NL",52
8471482,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8471482.png",24,"D","L",71,211,180,96,"1985-04-14","CAN","Grant","Clitsome","Gloucester","ON",52
8471682,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8471682.png",40,"R","R",72,205,183,93,"1987-01-01","CAN","Devin","Setoguchi","Taber","AB",52
8471715,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8471715.png",31,"G","L",75,212,191,96,"1987-08-31","CZE","Ondrej","Pavelec","Kladno",NA,52
8473412,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8473412.png",18,"C","R",72,191,183,87,"1987-11-12","CAN","Bryan","Little","Edmonton","AB",52
8473564,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8473564.png",67,"R","L",73,186,185,84,"1988-02-17","CZE","Michael","Frolik","Kladno",NA,52
8474012,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474012.png",70,"C","L",71,179,180,81,"1989-01-19","USA","John","Albert","Cleveland","OH",52
8474025,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474025.png",27,"L","L",76,226,193,103,"1989-02-10","USA","Eric","Tangradi","Philadelphia","PA",52
8474061,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474061.png",14,"R","R",75,225,191,102,"1989-04-18","CAN","Anthony","Peluso","North York","ON",52
8474074,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474074.png",4,"D","R",75,195,191,88,"1989-02-22","CAN","Paul","Postma","Red Deer","AB",52
8474094,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474094.png",15,"R","R",72,180,183,82,"1988-06-01","CAN","Matt","Halischuk","Toronto","ON",52
8474184,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474184.png",7,"D","L",77,220,196,100,"1988-11-05","CAN","Keaton","Ellerby","Strathmore","AB",52
8474567,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474567.png",44,"D","R",74,222,188,101,"1990-07-15","USA","Zach","Bogosian","Massena","NY",52
8474603,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474603.png",58,"C","R",73,200,185,91,"1990-06-21","CAN","Eric","O'Dell","Ottawa","ON",52
8474616,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474616.png",28,"C","L",74,215,188,98,"1990-06-14","CAN","Patrice","Cormier","Moncton","NB",52
8474636,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474636.png",34,"G","R",75,201,191,91,"1990-03-02","CAN","Michael","Hutchinson","Barrie","ON",52
8474674,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474674.png",17,"C","L",76,210,193,95,"1990-03-24","CAN","James","Wright","Saskatoon","SK",52
8474743,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8474743.png",25,"D","R",74,212,188,96,"1988-07-26","USA","Zach","Redmond","Traverse City","MI",52
8475159,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8475159.png",48,"L","R",75,205,191,93,"1991-01-28","SWE","Carl","Klingberg","Gothenburg",NA,52
8475169,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8475169.png",9,"L","L",74,210,188,95,"1991-08-02","CAN","Evander","Kane","Vancouver","BC",52
8475279,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8475279.png",7,"D","L",75,232,191,105,"1991-05-09","CAN","Ben","Chiarot","Hamilton","ON",52
8475815,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8475815.png",71,"D","L",77,222,196,101,"1991-12-06","CAN","Julian","Melchiori","Richmond Hill","ON",52
8476460,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8476460.png",55,"C","R",75,198,191,90,"1993-03-15","CAN","Mark","Scheifele","Kitchener","ON",52
8476885,"https://assets.nhle.com/mugs/nhl/20132014/WPG/8476885.png",8,"D","R",75,203,191,92,"1994-02-26","USA","Jacob","Trouba","Rochester","MI",52
8467977,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8467977.png",16,"R","R",76,235,193,107,"1981-09-02","CAN","Brian","McGrattan","Hamilton","ON",20
8469490,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8469490.png",15,"R","R",74,225,188,102,"1981-11-14","USA","Tim","Jackman","Minot","ND",20
8469500,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8469500.png",13,"C","L",69,185,175,84,"1982-06-08","CAN","Michael","Cammalleri","Toronto","ON",20
8469732,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8469732.png",35,"G","L",72,197,183,89,"1980-02-07","CAN","Joey","MacDonald","Pictou","NS",20
8469770,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8469770.png",6,"D","R",72,202,183,92,"1983-03-20","CAN","Dennis","Wideman","Kitchener","ON",20
8470162,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8470162.png",18,"C","L",73,195,185,88,"1983-12-19","CAN","Matt","Stajan","Mississauga","ON",20
8470201,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8470201.png",24,"C","L",70,190,178,86,"1984-01-04","CZE","Jiri","Hudler","Olomouc",NA,20
8470740,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8470740.png",22,"R","R",71,195,180,88,"1983-02-04","USA","Lee","Stempniak","West Seneca","NY",20
8470839,"https://assets.nhle.com/mugs/nhl/20132014/CGY/8470839.png",55,"D","L",75,230,191,104,"1983-08-09","CAN","Shane","O'Brien","Port Hope","ON",20
